conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,delta_pred_boxes,delta_precision,delta_recall,delta_f1
0.68,871,2521,2734,3.1389207807118256,2424,310,97,0.8866130212143379,0.9615232050773502,0.9225499524262606,0,0.0,0.0,0.0
0.69,871,2521,2729,3.1331802525832377,2421,308,100,0.8871381458409674,0.9603332011106703,0.9222857142857143,-5,0.0005251246266294585,-0.0011900039666798978,-0.00026423814054632455
0.7,871,2521,2720,3.1228473019517797,2419,301,102,0.8893382352941176,0.9595398651328838,0.9231062774279718,-9,0.0022000894531502,-0.0007933359777865245,0.0008205631422575355
0.71,871,2521,2714,3.1159586681974742,2418,296,103,0.8909358879882093,0.9591431971439904,0.9237822349570202,-6,0.0015976526940917335,-0.0003966679888933733,0.0006759575290483655
0.72,871,2521,2708,3.1090700344431688,2417,291,104,0.8925406203840472,0.9587465291550972,0.9244597437368522,-6,0.0016047323958379156,-0.00039666798889326227,0.0006775087798320811
0.73,871,2521,2703,3.103329506314581,2414,289,107,0.8930817610062893,0.9575565251884173,0.9241960183767228,-5,0.0005411406222420867,-0.0011900039666798978,-0.0002637253601294187
0.74,871,2521,2696,3.095292766934558,2411,285,110,0.8942878338278932,0.9563665212217374,0.9242859881157753,-7,0.0012060728216038985,-0.0011900039666798978,8.996973905250893e-05
0.75,871,2521,2690,3.0884041331802528,2408,282,113,0.8951672862453531,0.9551765172550575,0.9241988102091728,-6,0.0008794524174599028,-0.0011900039666798978,-8.717790660250913e-05
0.76,871,2521,2682,3.079219288174512,2406,276,115,0.8970917225950783,0.954383181277271,0.924851047472612,-8,0.001924436349725167,-0.0007933359777865245,0.0006522372634392148
0.77,871,2521,2671,3.0665901262916186,2400,271,121,0.8985398727068513,0.9520031733439112,0.9244992295839753,-11,0.0014481501117730167,-0.0023800079333597957,-0.0003518178886366963
0.78,871,2521,2669,3.064293915040184,2399,270,122,0.8988385162982391,0.9516065053550179,0.9244701348747592,-2,0.0002986435913877594,-0.00039666798889326227,-2.909470921619306e-05
0.79,871,2521,2658,3.0516647531572905,2395,263,126,0.9010534236267871,0.9500198333994446,0.9248889747055415,-11,0.0022149073285480103,-0.0015866719555732711,0.0004188398307823915
0.8,871,2521,2645,3.0367393800229623,2386,259,135,0.9020793950850662,0.946449821499405,0.9237320944638018,-13,0.0010259714582790957,-0.0035700119000395825,-0.0011568802417397661
0.81,871,2521,2633,3.0229621125143513,2381,252,140,0.9042916824914546,0.9444664815549385,0.923942568878541,-12,0.002212287406388458,-0.0019833399444665334,0.00021047441473920347
0.82,871,2521,2620,3.008036739380023,2374,246,147,0.9061068702290076,0.9416898056326855,0.9235557284574984,-13,0.001815187737552959,-0.002776675922253058,-0.0003868404210425336
0.83,871,2521,2612,2.9988518943742823,2369,243,152,0.9069678407350689,0.9397064656882189,0.9230469511007208,-8,0.0008609705060612649,-0.0019833399444665334,-0.0005087773567776788
0.84,871,2521,2599,2.983926521239954,2365,234,156,0.9099653712966526,0.9381197937326458,0.923828125,-13,0.0029975305615836945,-0.00158667195557316,0.0007811738992792305
0.85,871,2521,2589,2.9724454649827785,2359,230,162,0.9111626110467362,0.935739785799286,0.9232876712328766,-10,0.0011972397500836784,-0.0023800079333597957,-0.0005404537671234166
0.86,871,2521,2567,2.947187141216992,2348,219,173,0.9146864043630697,0.9313764379214597,0.9229559748427673,-22,0.0035237933163334567,-0.004363347877826218,-0.00033169639010932617
0.87,871,2521,2553,2.931113662456946,2337,216,184,0.9153936545240893,0.9270130900436335,0.9211667323610564,-14,0.0007072501610195792,-0.004363347877826218,-0.001789242481710862
0.88,871,2521,2535,2.91044776119403,2327,208,194,0.9179487179487179,0.9230464101547006,0.920490506329114,-18,0.002555063424628634,-0.003966679888932956,-0.0006762260319423952
0.89,871,2521,2512,2.8840413318025258,2315,197,206,0.9215764331210191,0.918286394287981,0.919928472084244,-23,0.0036277151723012047,-0.004760015866719591,-0.0005620342448700022
0.9,871,2521,2485,2.8530424799081517,2298,187,223,0.924748490945674,0.911543038476795,0.9180982820615261,-27,0.003172057824654906,-0.006743355811186014,-0.0018301900227178924
