conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,delta_pred_boxes,delta_precision,delta_recall,delta_f1
0.7,871,2521,2638,3.028702640642939,2353,285,168,0.8919636087945413,0.9333597778659262,0.9121922853266137,0,0.0,0.0,0.0
0.71,871,2521,2632,3.0218140068886337,2352,280,169,0.8936170212765957,0.9329631098770329,0.9128662914806909,-6,0.0016534124820544172,-0.00039666798889326227,0.0006740061540772002
0.72,871,2521,2625,3.013777267508611,2350,275,171,0.8952380952380953,0.9321697738992464,0.9133307423241352,-7,0.001621073961499575,-0.0007933359777865245,0.00046445084344437504
0.73,871,2521,2611,2.9977037887485647,2343,268,178,0.8973573343546534,0.9293930979769932,0.9130943102104442,-14,0.0021192391165580915,-0.002776675922253169,-0.0002364321136910652
0.74,871,2521,2604,2.989667049368542,2339,265,182,0.8982334869431644,0.92780642602142,0.9127804878048781,-7,0.0008761525885110366,-0.00158667195557316,-0.00031382240556609986
0.75,871,2521,2590,2.973593570608496,2333,257,188,0.9007722007722008,0.9254264180880603,0.9129328898454313,-14,0.0025387138290363653,-0.0023800079333597957,0.00015240204055322337
0.76,871,2521,2571,2.951779563719862,2323,248,198,0.9035394788020226,0.9214597381991273,0.9124116260801256,-19,0.002767278029821796,-0.003966679888932956,-0.0005212637653057017
0.77,871,2521,2561,2.9402985074626864,2317,244,204,0.904724716907458,0.9190797302657675,0.9118457300275481,-10,0.001185238105435471,-0.0023800079333597957,-0.0005658960525775081
0.78,871,2521,2548,2.925373134328358,2308,240,213,0.9058084772370487,0.9155097183657279,0.9106332609982245,-13,0.0010837603295906773,-0.0035700119000395825,-0.001212469029323593
0.79,871,2521,2533,2.9081515499425947,2305,228,216,0.9099881563363601,0.914319714399048,0.9121487930352197,-15,0.004179679099311384,-0.0011900039666798978,0.0015155320369951708
0.8,871,2521,2512,2.8840413318025258,2298,214,223,0.9148089171974523,0.911543038476795,0.9131730578183987,-21,0.004820760861092177,-0.002776675922253058,0.001024264783179074
0.81,871,2521,2494,2.8633754305396097,2292,202,229,0.9190056134723336,0.9091630305434352,0.9140578265204387,-18,0.004196696274881284,-0.0023800079333597957,0.0008847687020399064
0.82,871,2521,2470,2.8358208955223883,2282,188,239,0.9238866396761134,0.9051963506545022,0.9144460028050491,-24,0.004881026203779837,-0.003966679888932956,0.00038817628461040865
0.83,871,2521,2448,2.8105625717566016,2274,174,247,0.928921568627451,0.9020230067433558,0.9152747031595895,-22,0.005034928951337614,-0.0031733439111464312,0.0008287003545404126
0.84,871,2521,2426,2.785304247990815,2263,163,258,0.9328112118713933,0.8976596588655296,0.9148979179300586,-22,0.0038896432439422535,-0.004363347877826218,-0.0003767852295308849
0.85,871,2521,2399,2.754305396096441,2247,152,274,0.9366402667778241,0.8913129710432368,0.9134146341463414,-27,0.0038290549064308177,-0.006346687822292751,-0.0014832837837172042
