conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,count_diff,abs_count_error,defect_gt_boxes,defect_pred_boxes,defect_detected_boxes,defect_missed_boxes,defect_detect_rate,defect_miss_rate,normal_gt_boxes,normal_hit_by_defect_boxes,normal_to_defect_rate,broken_gt_boxes,broken_pred_boxes,broken_tp,broken_fp,broken_fn,broken_precision,broken_recall,broken_f1,normal_gt_boxes,normal_pred_boxes,normal_tp,normal_fp,normal_fn,normal_precision,normal_recall,normal_f1,muddy_gt_boxes,muddy_pred_boxes,muddy_tp,muddy_fp,muddy_fn,muddy_precision,muddy_recall,muddy_f1,empty_gt_boxes,empty_pred_boxes,empty_tp,empty_fp,empty_fn,empty_precision,empty_recall,empty_f1
0.81,871,2521,2633,3.0229621125143513,2381,252,140,0.9042916824914546,0.9444664815549385,0.923942568878541,112,112,1675,1751,1595,80,0.9522388059701492,0.04776119402985075,846,7,0.008274231678486997,787,817,735,82,52,0.8996328029375765,0.9339263024142312,0.9164588528678304,846,882,808,74,38,0.9160997732426304,0.9550827423167849,0.9351851851851852,521,514,473,41,48,0.9202334630350194,0.9078694817658349,0.9140096618357487,367,420,365,55,2,0.8690476190476191,0.9945504087193461,0.9275730622617535
0.82,871,2521,2620,3.008036739380023,2374,246,147,0.9061068702290076,0.9416898056326855,0.9235557284574984,99,99,1675,1744,1589,86,0.9486567164179105,0.051343283582089554,846,7,0.008274231678486997,787,813,734,79,53,0.9028290282902829,0.9326556543837357,0.9175,846,876,803,73,43,0.9166666666666666,0.9491725768321513,0.9326364692218351,521,513,472,41,49,0.9200779727095516,0.9059500959692899,0.9129593810444875,367,418,365,53,2,0.8732057416267942,0.9945504087193461,0.9299363057324841
0.83,871,2521,2612,2.9988518943742823,2369,243,152,0.9069678407350689,0.9397064656882189,0.9230469511007208,91,91,1675,1739,1586,89,0.946865671641791,0.05313432835820896,846,6,0.0070921985815602835,787,809,731,78,56,0.9035846724351051,0.928843710292249,0.9160401002506267,846,873,801,72,45,0.9175257731958762,0.9468085106382979,0.9319371727748691,521,512,472,40,49,0.921875,0.9059500959692899,0.9138431752178122,367,418,365,53,2,0.8732057416267942,0.9945504087193461,0.9299363057324841
0.84,871,2521,2599,2.983926521239954,2365,234,156,0.9099653712966526,0.9381197937326458,0.923828125,78,78,1675,1731,1583,92,0.9450746268656717,0.05492537313432836,846,6,0.0070921985815602835,787,806,730,76,57,0.9057071960297767,0.9275730622617535,0.9165097300690521,846,868,798,70,48,0.9193548387096774,0.9432624113475178,0.9311551925320887,521,510,472,38,49,0.9254901960784314,0.9059500959692899,0.915615906886518,367,415,365,50,2,0.8795180722891566,0.9945504087193461,0.9335038363171355
0.85,871,2521,2589,2.9724454649827785,2359,230,162,0.9111626110467362,0.935739785799286,0.9232876712328766,68,68,1675,1722,1577,98,0.9414925373134329,0.05850746268656717,846,6,0.0070921985815602835,787,801,727,74,60,0.9076154806491885,0.9237611181702668,0.915617128463476,846,867,797,70,49,0.9192618223760092,0.942080378250591,0.9305312317571511,521,507,470,37,51,0.9270216962524654,0.9021113243761996,0.9143968871595329,367,414,365,49,2,0.8816425120772947,0.9945504087193461,0.9346991037131882
0.86,871,2521,2567,2.947187141216992,2348,219,173,0.9146864043630697,0.9313764379214597,0.9229559748427673,46,46,1675,1704,1566,109,0.9349253731343283,0.06507462686567164,846,5,0.00591016548463357,787,790,722,68,65,0.9139240506329114,0.9174078780177891,0.9156626506024097,846,863,796,67,50,0.9223638470451911,0.9408983451536643,0.9315389116442364,521,501,465,36,56,0.9281437125748503,0.8925143953934741,0.9099804305283757,367,413,365,48,2,0.8837772397094431,0.9945504087193461,0.9358974358974359
0.87,871,2521,2553,2.931113662456946,2337,216,184,0.9153936545240893,0.9270130900436335,0.9211667323610564,32,32,1675,1697,1560,115,0.9313432835820895,0.06865671641791045,846,5,0.00591016548463357,787,786,718,68,69,0.9134860050890585,0.9123252858958069,0.9129052765416402,846,856,791,65,55,0.9240654205607477,0.9349881796690307,0.9294947121034077,521,499,463,36,58,0.9278557114228457,0.8886756238003839,0.9078431372549021,367,412,365,47,2,0.8859223300970874,0.9945504087193461,0.9370988446726572
0.88,871,2521,2535,2.91044776119403,2327,208,194,0.9179487179487179,0.9230464101547006,0.920490506329114,14,14,1675,1686,1551,124,0.9259701492537313,0.07402985074626865,846,5,0.00591016548463357,787,779,712,67,75,0.9139922978177151,0.9047013977128335,0.909323116219668,846,849,788,61,58,0.928150765606596,0.9314420803782506,0.9297935103244838,521,496,462,34,59,0.9314516129032258,0.8867562380038387,0.9085545722713864,367,411,365,46,2,0.8880778588807786,0.9945504087193461,0.9383033419023136
0.89,871,2521,2512,2.8840413318025258,2315,197,206,0.9215764331210191,0.918286394287981,0.919928472084244,-9,9,1675,1673,1544,131,0.9217910447761194,0.07820895522388059,846,5,0.00591016548463357,787,772,708,64,79,0.917098445595855,0.8996188055908514,0.9082745349583068,846,839,783,56,63,0.933253873659118,0.925531914893617,0.9293768545994066,521,490,459,31,62,0.936734693877551,0.8809980806142035,0.9080118694362017,367,411,365,46,2,0.8880778588807786,0.9945504087193461,0.9383033419023136
0.9,871,2521,2485,2.8530424799081517,2298,187,223,0.924748490945674,0.911543038476795,0.9180982820615261,-36,36,1675,1656,1534,141,0.9158208955223881,0.08417910447761194,846,4,0.004728132387706856,787,761,703,58,84,0.923784494086728,0.8932655654383735,0.9082687338501292,846,829,776,53,70,0.9360675512665863,0.91725768321513,0.9265671641791045,521,484,454,30,67,0.9380165289256198,0.8714011516314779,0.9034825870646767,367,411,365,46,2,0.8880778588807786,0.9945504087193461,0.9383033419023136
